Player,Draft,Drafted,League,Birth Year,Age In Draft Yr,Listed Height,Height (in),GP,GS,MIN,PTS,FGM,FGA,FG%,ThreePtMade,ThreePtAttempts,ThreePtPercentage,FTM,FTA,FT%,OFF,DEF,TRB,AST,STL,BLK,TOV,PF,TS%,eFG%,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,Total S,PPR,PPS,ORtg,DRtg,PER
Victor Wembanyama,2023,1,France,2004,19,7-3,87,43,43,32.20,20.67,7.23,15.42,0.47,1.26,4.60,0.27,4.95,6.02,0.82,1.72,8.44,10.16,2.47,0.79,2.98,2.84,2.14,0.57,0.51,7.04,29.60,19.19,14.56,13.57,1.29,9.53,30.49,156.42,-3.62,1.34,110.30,100.50,25.07
Scoot Henderson,2023,1,G-League,2004,19,6-2,74,19,18,30.70,16.53,6.05,14.11,0.43,0.74,2.68,0.28,2.21,2.89,0.76,1.05,4.32,5.37,6.47,1.00,0.53,3.47,3.26,0.54,0.46,3.81,16.51,9.98,30.94,18.43,1.64,1.63,26.81,146.73,2.79,1.17,99.20,123.90,13.31
Bilal Coulibaly,2023,1,France,2004,19,6-6,78,36,17,20.20,6.08,2.25,4.28,0.53,0.50,1.39,0.36,1.08,1.78,0.61,0.89,2.17,3.06,1.00,0.89,0.17,1.08,1.78,0.60,0.58,5.87,11.99,9.20,7.81,17.63,2.33,0.83,14.38,149.53,-2.03,1.42,110.30,109.10,12.11
James Nnaji,2023,1,Spain,2004,19,6-11,83,35,9,10.50,4.34,1.77,2.54,0.70,0.00,0.00,0.00,0.80,1.49,0.54,1.06,1.54,2.60,0.26,0.23,0.63,0.80,1.31,0.68,0.70,13.86,17.96,16.03,4.11,20.02,1.21,6.01,18.32,123.51,-6.14,1.71,116.60,100.50,18.47
Leonard Miller,2023,1,G-League,2003,20,6-10,82,24,19,30.60,17.96,7.25,13.04,0.56,0.71,2.17,0.33,1.58,2.00,0.79,3.21,7.75,10.96,1.58,0.92,0.88,1.50,2.50,0.65,0.58,11.56,28.34,19.89,8.58,9.73,1.51,2.69,22.07,167.45,-1.48,1.38,120.40,117.90,21.80
Tristan Vukčević,2023,1,ABA,2003,20,7-0,84,22,9,14.80,8.09,2.95,5.09,0.58,0.82,2.05,0.40,1.36,1.68,0.81,0.77,2.41,3.18,1.05,0.50,0.50,1.14,2.18,0.69,0.66,7.95,20.86,14.96,11.51,16.31,1.87,3.66,23.11,179.12,-3.00,1.59,125.30,103.60,21.53
Rayan Rupert,2023,1,NBL,2004,19,6-7,79,28,18,17.30,5.93,2.00,5.71,0.35,0.54,2.29,0.23,1.39,1.96,0.71,0.50,1.64,2.14,0.89,0.71,0.18,1.07,1.89,0.45,0.40,3.30,10.88,7.09,8.30,14.01,2.16,1.03,20.17,129.35,-2.87,1.04,91.60,104.40,8.30
Sidy Cissoko,2023,1,G-League,2004,19,6-7,79,28,28,29.30,12.82,4.32,9.46,0.46,1.11,3.64,0.30,1.75,2.71,0.65,0.82,2.00,2.82,3.50,1.21,1.00,1.93,3.32,0.60,0.52,3.12,7.66,5.38,16.83,15.32,2.10,3.19,18.99,140.53,1.42,1.35,105.70,123.00,12.54
Mojave King,2023,1,G-League,2002,21,6-5,77,30,8,25.10,8.10,2.93,7.10,0.41,0.57,2.33,0.24,0.97,1.20,0.81,1.03,3.70,4.73,1.17,0.40,0.30,0.77,1.53,0.53,0.45,4.48,16.18,10.31,6.55,9.13,0.81,1.10,14.77,146.16,0.05,1.14,102.50,124.20,8.99
Tarik Biberović,2023,1,Turkey,2001,22,6-7,79,24,6,14.60,5.29,1.83,4.67,0.39,1.00,2.88,0.35,0.62,0.71,0.88,0.71,1.75,2.46,0.54,0.38,0.08,0.79,2.04,0.53,0.50,6.14,15.97,10.93,5.70,13.72,1.41,0.60,18.83,162.30,-2.91,1.13,105.10,111.10,9.75
Jalen Green,2022,1,G-League,2002,20,6-6,78,15,15,32.00,17.93,6.27,13.60,0.46,2.07,5.67,0.37,1.93,2.33,0.83,0.53,3.53,4.07,2.80,1.53,0.27,2.67,1.73,0.61,0.54,1.87,11.59,6.90,13.51,15.42,2.35,0.76,23.25,165.41,-2.50,1.32,102.20,111.90,15.38
Dyson Daniels,2022,1,G-League,2003,19,6-8,80,29,29,31.60,11.62,4.62,10.21,0.45,1.03,3.45,0.30,0.83,1.55,0.53,1.86,4.93,6.79,4.72,2.00,0.69,2.69,2.17,0.53,0.50,6.41,17.41,11.85,22.09,19.81,3.14,2.04,18.72,128.60,1.47,1.14,99.90,108.30,14.48
